  0.55  
  0.55  ================================================================
  0.55   EXP-002  INMP441 RAW I2S CAPTURE
  0.55    pins: SCK=6  WS=5  SD=4   |  16000 Hz, 32-bit slot, LEFT only
  0.55  ================================================================
  0.55  [ I2S INIT ]
  0.55    i2s_driver_install  -> ESP_OK
  0.55    i2s_set_pin         -> ESP_OK
  0.55    I2S initialised OK
  0.55  
  0.55  Legend:  raw = first 4 raw 32-bit words (hex, straight from DMA)
  0.55           min/max/mean/rms are signed 24-bit values (raw >> 8)
  0.55           full scale = +/-8388607
  0.55  
  0.66  raw 00000000 00000000 00000000 00000000 | n=512 bytes=2048 | min= -3259560 max=  7129272 mean=-2209072.8 rms=2386059.5 (28.4440% FS) zeros= 11 flat= 11
  0.88  raw 2ee97c00 2f39ba00 2f40a200 2ee51c00 | n=512 bytes=2048 | min=  2035418 max=  3096738 mean=2518603.6 rms=2533517.2 (30.2019% FS) zeros=  0 flat=  1
  1.09  raw f602be00 f6004000 f5dcc200 f633ec00 | n=512 bytes=2048 | min=  -930498 max=  -560238 mean=-756948.0 rms= 761207.8 (9.0743% FS) zeros=  0 flat=  1
  1.42  raw e9d04400 e999d600 e964f400 e96f2800 | n=512 bytes=2048 | min= -1495734 max= -1273090 mean=-1393005.5 rms=1393745.1 (16.6147% FS) zeros=  0 flat=  1
  1.64  raw ee49ea00 ee239000 edd0d800 eda31800 | n=512 bytes=2048 | min= -1340448 max= -1070062 mean=-1217108.3 rms=1218598.6 (14.5268% FS) zeros=  0 flat=  1
  2.19  raw f121e600 f160ca00 f1808600 f15b2c00 | n=512 bytes=2048 | min=  -999288 max=  -749582 mean=-894578.8 rms= 896383.1 (10.6857% FS) zeros=  0 flat=  1
  2.19  raw f676b000 f6406a00 f62e7600 f613fc00 | n=512 bytes=2048 | min=  -699504 max=  -442706 mean=-577786.0 rms= 579880.9 (6.9127% FS) zeros=  0 flat=  2
  2.41  raw fa805c00 fa7fb000 fa884800 fa894800 | n=512 bytes=2048 | min=  -463474 max=  -244352 mean=-349573.9 rms= 353250.3 (4.2111% FS) zeros=  0 flat=  1
  2.63  raw fdeca600 fdce7e00 fdbd9800 fda29a00 | n=512 bytes=2048 | min=  -274226 max=  -103844 mean=-182481.9 rms= 186528.5 (2.2236% FS) zeros=  0 flat=  1
  2.84  raw fdd1fa00 fddd4000 fdc9e400 fd979400 | n=512 bytes=2048 | min=  -197732 max=   -24942 mean=-113917.6 rms= 120724.5 (1.4391% FS) zeros=  0 flat=  1
  3.17  raw fc43e000 fc2ed200 fc26f400 fc1c3000 | n=512 bytes=2048 | min=  -254928 max=     2172 mean=-117024.7 rms= 124906.6 (1.4890% FS) zeros=  0 flat=  1
  3.39  raw ff246e00 ff3c2200 ff519e00 ff72bc00 | n=512 bytes=2048 | min=  -227490 max=    78904 mean= -90627.5 rms= 116077.9 (1.3838% FS) zeros=  0 flat=  1
  3.61  raw ff4ee400 ff499e00 ff45b800 ff428a00 | n=512 bytes=2048 | min=  -180456 max=    54074 mean= -58630.8 rms=  71843.6 (0.8564% FS) zeros=  0 flat=  1
  3.94  raw fe00fe00 fe287c00 fe7b9a00 fe922800 | n=512 bytes=2048 | min=  -228914 max=    24586 mean=-106488.2 rms= 121611.8 (1.4497% FS) zeros=  0 flat=  1
  4.15  raw ff099400 ff277a00 ff252800 ff2aa200 | n=512 bytes=2048 | min=  -209284 max=    13462 mean= -83609.2 rms=  98309.6 (1.1719% FS) zeros=  0 flat=  1
  4.37  raw fe7e2c00 fe799000 fe8f2a00 fe8b8c00 | n=512 bytes=2048 | min=  -122088 max=     1360 mean= -57850.8 rms=  64420.8 (0.7680% FS) zeros=  0 flat=  1
  4.70  raw 00035600 00025c00 ffbe0a00 ffd20e00 | n=512 bytes=2048 | min=  -139124 max=    11260 mean= -57281.5 rms=  66165.3 (0.7888% FS) zeros=  0 flat=  1
  4.92  raw ff3d5a00 ff363c00 ff432400 ff706000 | n=512 bytes=2048 | min=  -152006 max=    49556 mean= -57519.1 rms=  72044.9 (0.8588% FS) zeros=  0 flat=  1
  5.13  raw ffc82000 ffbb2800 ffc5e400 ffdbe400 | n=512 bytes=2048 | min=  -119412 max=    87508 mean= -15882.1 rms=  55557.1 (0.6623% FS) zeros=  0 flat=  1
  5.36  raw 00e90e00 00d92400 00b95200 00795600 | n=512 bytes=2048 | min=  -151806 max=    77808 mean= -32609.1 rms=  54563.6 (0.6504% FS) zeros=  0 flat=  1
  5.68  raw ffbfac00 ffd58400 ffc56a00 ff9b4000 | n=512 bytes=2048 | min=   -76776 max=   123450 mean=  16457.7 rms=  46192.6 (0.5507% FS) zeros=  0 flat=  1
  5.90  raw 01273e00 0110d600 00cc3000 009bec00 | n=512 bytes=2048 | min=   -61600 max=    83644 mean=  14063.3 rms=  35981.5 (0.4289% FS) zeros=  0 flat=  1
  6.12  raw ff977c00 ff8e3400 ff980e00 ffb36e00 | n=512 bytes=2048 | min=   -78644 max=   100606 mean=   8531.2 rms=  41219.8 (0.4914% FS) zeros=  0 flat=  1
  6.45  raw fe4e2400 fe772c00 fe972a00 fec16c00 | n=512 bytes=2048 | min=  -134828 max=   135440 mean= -17725.5 rms=  53898.8 (0.6425% FS) zeros=  0 flat=  1
  6.66  raw fe506000 fe8c8a00 feb84600 fea3c200 | n=512 bytes=2048 | min=  -170830 max=    94416 mean= -38518.1 rms=  66128.9 (0.7883% FS) zeros=  0 flat=  1
  6.88  raw 00386e00 002f8400 00156600 ffe2aa00 | n=512 bytes=2048 | min=  -229668 max=   123916 mean= -19121.8 rms=  75579.1 (0.9010% FS) zeros=  0 flat=  1
  7.21  raw 0054e600 00777800 009ed400 00b95600 | n=512 bytes=2048 | min=  -179914 max=   127026 mean= -11400.4 rms=  56309.2 (0.6713% FS) zeros=  0 flat=  1
  7.43  raw 018b7200 01ba4000 01c41200 01bba400 | n=512 bytes=2048 | min=   -91014 max=   125282 mean=   8105.6 rms=  50616.6 (0.6034% FS) zeros=  0 flat=  1
  7.65  raw ffdf6e00 ffd3fc00 ffb75000 ff741200 | n=512 bytes=2048 | min=   -51784 max=   156016 mean=  29429.9 rms=  47667.5 (0.5682% FS) zeros=  0 flat=  1
