  0.22  raw 032f1400 03377200 034fdc00 03561a00 | n=512 bytes=2048 | min=   131018 max=   300394 mean= 197293.1 rms= 201394.2 (2.4008% FS) zeros=  0 flat=  1
  0.54  raw 01684a00 0165be00 015fa400 013efa00 | n=512 bytes=2048 | min=    34202 max=   174572 mean=  97188.7 rms= 101618.1 (1.2114% FS) zeros=  0 flat=  1
  0.76  raw 01160800 01172000 010e4c00 01024c00 | n=512 bytes=2048 | min=    35626 max=   189950 mean= 121851.7 rms= 127761.0 (1.5230% FS) zeros=  0 flat=  1
  0.98  raw 0097b000 00955a00 009fc200 00938e00 | n=512 bytes=2048 | min=   -23106 max=   160776 mean=  56073.6 rms=  70103.8 (0.8357% FS) zeros=  0 flat=  1
  1.31  raw 0105b000 00e3aa00 00d7da00 00e4c200 | n=512 bytes=2048 | min=   -63146 max=    90042 mean=  23565.1 rms=  43862.9 (0.5229% FS) zeros=  0 flat=  1
  1.53  raw 018c1c00 0168d000 01588600 015f6e00 | n=512 bytes=2048 | min=   -20912 max=   101404 mean=  43488.0 rms=  49890.3 (0.5947% FS) zeros=  0 flat=  1
  1.75  raw 004e7400 00474e00 0052c200 00557c00 | n=512 bytes=2048 | min=   -65504 max=   105540 mean=  18195.0 rms=  41740.0 (0.4976% FS) zeros=  0 flat=  1
  1.96  raw 039fbc00 03ab5a00 03b5e000 03c7aa00 | n=512 bytes=2048 | min=   103512 max=   268544 mean= 184458.7 rms= 187833.8 (2.2392% FS) zeros=  0 flat=  1
  2.30  raw 0044fa00 00372200 001c3600 001ec800 | n=512 bytes=2048 | min=    -5392 max=   162550 mean=  82078.7 rms=  94540.3 (1.1270% FS) zeros=  0 flat=  1
  2.52  raw fe912600 feac9a00 feb54400 fea98c00 | n=512 bytes=2048 | min=  -130032 max=    31050 mean= -72192.2 rms=  79625.7 (0.9492% FS) zeros=  0 flat=  1
  2.74  raw fbf65e00 fbd73400 fbd5be00 fbdabe00 | n=512 bytes=2048 | min=  -272962 max=  -109334 mean=-206343.7 rms= 208646.1 (2.4873% FS) zeros=  0 flat=  1
  3.06  raw 01ffea00 01ef9400 01d2f200 01bddc00 | n=512 bytes=2048 | min=   113966 max=   339298 mean= 217861.9 rms= 224527.1 (2.6766% FS) zeros=  0 flat=  1
  3.28  raw 0106fe00 010a1a00 010b2e00 01276800 | n=512 bytes=2048 | min=   -16482 max=   182800 mean=  70869.1 rms=  81814.9 (0.9753% FS) zeros=  0 flat=  1
  3.50  raw fff86200 000e5200 00118c00 00069800 | n=512 bytes=2048 | min=   -61818 max=    91764 mean=  13891.1 rms=  40949.9 (0.4882% FS) zeros=  0 flat=  1
  3.82  raw 00f85200 01010800 01037600 01086a00 | n=512 bytes=2048 | min=   -26348 max=   195556 mean=  71263.1 rms=  83154.7 (0.9913% FS) zeros=  0 flat=  1
  4.04  raw ff2ef400 ff278800 ff406800 ff5afe00 | n=512 bytes=2048 | min=  -104142 max=   106024 mean= -15801.8 rms=  51053.3 (0.6086% FS) zeros=  0 flat=  1
  4.26  raw fe292400 fe16be00 fdf63200 fdffa000 | n=512 bytes=2048 | min=  -267336 max=   -65814 mean=-166148.1 rms= 171115.0 (2.0398% FS) zeros=  0 flat=  1
