  1.00  
  1.00  ================================================================
  1.00   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.00    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.00    threshold 0.50 | 2 consecutive windows required to fire
  1.00  ================================================================
  3.01  [ MODEL ] 24536 bytes | arena used 15468 of 49152 | heap free 249152
  3.01  [ LISTENING ] say the keyword
  4.02  kw 0.002  unk 0.267  sil 0.731  -> silence | run 0 | feat 1.17 ms  infer 84.30 ms  cpu 48.0%
  4.02  kw 0.023  unk 0.747  sil 0.230  -> unknown | run 0 | feat 1.17 ms  infer 84.14 ms  cpu 47.9%
  4.02  kw 0.056  unk 0.215  sil 0.728  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 47.9%
  5.02  kw 0.139  unk 0.431  sil 0.431  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  5.02  kw 0.064  unk 0.072  sil 0.864  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  5.02  kw 0.004  unk 0.061  sil 0.935  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  5.02  kw 0.004  unk 0.151  sil 0.845  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  5.02  kw 0.006  unk 0.220  sil 0.774  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  6.03  kw 0.008  unk 0.475  sil 0.517  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  6.03  kw 0.007  unk 0.192  sil 0.801  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  6.03  kw 0.019  unk 0.950  sil 0.030  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  6.03  kw 0.023  unk 0.312  sil 0.665  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  6.03  kw 0.626  unk 0.163  sil 0.210  -> keyword | run 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  7.03  kw 0.656  unk 0.036  sil 0.308  -> keyword | run 2 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%   *** SENTINEL ***
  7.03  kw 0.737  unk 0.016  sil 0.247  -> keyword | run 3 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  7.03  kw 0.164  unk 0.122  sil 0.714  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  7.03  kw 0.002  unk 0.131  sil 0.867  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  7.03  kw 0.004  unk 0.213  sil 0.783  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  8.05  kw 0.012  unk 0.372  sil 0.616  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
