  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.50 | 1-of-1 vote | 6-window refractory
  1.01  ================================================================
  3.03  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
  3.03  [ LISTENING ] say the keyword
  4.04  kw 0.025  unk 0.970  sil 0.005  -> unknown | vote 0 | feat 1.17 ms  infer 84.30 ms  cpu 48.0%
  4.04  kw 0.024  unk 0.964  sil 0.012  -> unknown | vote 0 | feat 1.17 ms  infer 84.13 ms  cpu 47.9%
  4.04  kw 0.592  unk 0.382  sil 0.026  -> keyword | vote 1 | feat 1.17 ms  infer 84.13 ms  cpu 47.9%   *** SENTINEL ***
  4.04  kw 0.465  unk 0.465  sil 0.070  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 47.9%
  5.04  kw 0.741  unk 0.043  sil 0.215  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 47.9%
  5.04  kw 0.072  unk 0.138  sil 0.791  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 47.9%
  5.04  kw 0.092  unk 0.704  sil 0.204  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  5.04  kw 0.031  unk 0.316  sil 0.654  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  5.04  kw 0.038  unk 0.746  sil 0.216  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.04  kw 0.025  unk 0.540  sil 0.434  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.04  kw 0.020  unk 0.933  sil 0.047  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.04  kw 0.016  unk 0.798  sil 0.186  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.04  kw 0.027  unk 0.778  sil 0.195  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.04  kw 0.020  unk 0.661  sil 0.319  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.04  kw 0.020  unk 0.947  sil 0.033  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.04  kw 0.014  unk 0.337  sil 0.649  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.04  kw 0.034  unk 0.723  sil 0.243  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.04  kw 0.009  unk 0.728  sil 0.263  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.04  kw 0.021  unk 0.436  sil 0.543  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.06  kw 0.015  unk 0.763  sil 0.222  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.06  kw 0.054  unk 0.638  sil 0.308  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.06  kw 0.026  unk 0.730  sil 0.245  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.06  kw 0.058  unk 0.692  sil 0.250  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.06  kw 0.015  unk 0.664  sil 0.321  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  9.07  kw 0.016  unk 0.933  sil 0.051  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  9.07  kw 0.067  unk 0.686  sil 0.248  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  9.07  kw 0.077  unk 0.794  sil 0.129  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  9.07  kw 0.799  unk 0.161  sil 0.040  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
  9.07  kw 0.114  unk 0.873  sil 0.014  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
