  1.00  
  1.00  ================================================================
  1.00   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.00    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.00    threshold 0.50 | 1-of-1 vote | 6-window refractory
  1.00  ================================================================
  1.00  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
  3.03  [ LISTENING ] say the keyword
  4.05  kw 0.004  unk 0.969  sil 0.027  -> unknown | vote 0 | feat 1.17 ms  infer 84.30 ms  cpu 48.0%
  4.05  kw 0.002  unk 0.998  sil 0.001  -> unknown | vote 0 | feat 1.17 ms  infer 84.13 ms  cpu 47.9%
  4.05  kw 0.002  unk 0.996  sil 0.002  -> unknown | vote 0 | feat 1.17 ms  infer 84.14 ms  cpu 47.9%
  4.05  kw 0.008  unk 0.989  sil 0.004  -> unknown | vote 0 | feat 1.17 ms  infer 84.13 ms  cpu 47.9%
  5.05  kw 0.048  unk 0.943  sil 0.009  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 47.9%
  5.05  kw 0.050  unk 0.684  sil 0.266  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 47.9%
  5.05  kw 0.043  unk 0.548  sil 0.409  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 47.9%
  5.05  kw 0.014  unk 0.457  sil 0.529  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.05  kw 0.019  unk 0.473  sil 0.508  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.05  kw 0.014  unk 0.839  sil 0.146  -> unknown | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  6.05  kw 0.034  unk 0.900  sil 0.066  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.05  kw 0.006  unk 0.973  sil 0.021  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.05  kw 0.006  unk 0.967  sil 0.027  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.05  kw 0.012  unk 0.980  sil 0.008  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.06  kw 0.005  unk 0.374  sil 0.622  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.06  kw 0.018  unk 0.336  sil 0.646  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.06  kw 0.015  unk 0.261  sil 0.724  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.06  kw 0.024  unk 0.642  sil 0.334  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.06  kw 0.009  unk 0.869  sil 0.122  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.07  kw 0.005  unk 0.966  sil 0.029  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.07  kw 0.015  unk 0.944  sil 0.041  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.07  kw 0.008  unk 0.990  sil 0.002  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.07  kw 0.029  unk 0.956  sil 0.015  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.07  kw 0.492  unk 0.457  sil 0.051  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  9.09  kw 0.006  unk 0.994  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  9.09  kw 0.089  unk 0.911  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  9.09  kw 0.007  unk 0.992  sil 0.001  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
  9.09  kw 0.008  unk 0.991  sil 0.002  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  9.09  kw 0.009  unk 0.984  sil 0.007  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 10.09  kw 0.017  unk 0.889  sil 0.093  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 10.09  kw 0.047  unk 0.811  sil 0.141  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 10.09  kw 0.010  unk 0.981  sil 0.009  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 10.09  kw 0.057  unk 0.904  sil 0.040  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 10.09  kw 0.062  unk 0.917  sil 0.021  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 11.10  kw 0.205  unk 0.761  sil 0.033  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 11.10  kw 0.912  unk 0.062  sil 0.026  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 11.10  kw 0.261  unk 0.724  sil 0.014  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 11.10  kw 0.018  unk 0.982  sil 0.000  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
