  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.70 | 2-of-2 vote | 6-window refractory
  1.01  ================================================================
  1.01  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
  3.04  [ LISTENING ] say the keyword
  4.05  kw 0.915  unk 0.075  sil 0.011  -> keyword | vote 1 | feat 1.17 ms  infer 84.30 ms  cpu 48.0%
  4.05  kw 0.998  unk 0.001  sil 0.001  -> keyword | vote 2 | feat 1.17 ms  infer 84.12 ms  cpu 47.9%   *** SENTINEL ***
  4.05  kw 0.976  unk 0.023  sil 0.002  -> keyword | vote 1 | feat 1.17 ms  infer 84.13 ms  cpu 47.9%
  4.05  kw 0.483  unk 0.273  sil 0.244  -> keyword | vote 1 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  5.06  kw 0.007  unk 0.841  sil 0.152  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 47.9%
  5.06  kw 0.001  unk 0.348  sil 0.651  -> silence | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  5.06  kw 0.000  unk 0.084  sil 0.916  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  5.06  kw 0.000  unk 0.068  sil 0.932  -> silence | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 48.0%
  5.06  kw 0.005  unk 0.168  sil 0.827  -> silence | vote 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
  6.07  kw 0.002  unk 0.168  sil 0.830  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.07  kw 0.005  unk 0.160  sil 0.835  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.07  kw 0.003  unk 0.274  sil 0.723  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.07  kw 0.001  unk 0.071  sil 0.927  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.07  kw 0.003  unk 0.286  sil 0.711  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.08  kw 0.010  unk 0.175  sil 0.815  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.08  kw 0.002  unk 0.126  sil 0.872  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.08  kw 0.073  unk 0.477  sil 0.450  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.08  kw 0.630  unk 0.180  sil 0.190  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.08  kw 0.804  unk 0.092  sil 0.103  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.08  kw 0.946  unk 0.021  sil 0.033  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
  8.08  kw 0.998  unk 0.000  sil 0.001  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
