  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.70 | 2-of-2 vote | 6-window refractory
  1.01  ================================================================
  1.01  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
  3.04  [ LISTENING ] say the keyword
  4.04  kw 0.058  unk 0.938  sil 0.005  -> unknown | vote 0 | feat 1.17 ms  infer 84.30 ms  cpu 48.0%
  4.04  kw 0.035  unk 0.961  sil 0.003  -> unknown | vote 0 | feat 1.17 ms  infer 84.12 ms  cpu 47.9%
  4.04  kw 0.083  unk 0.913  sil 0.003  -> unknown | vote 0 | feat 1.17 ms  infer 84.13 ms  cpu 47.9%
  5.05  kw 0.270  unk 0.427  sil 0.303  -> unknown | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  5.05  kw 0.066  unk 0.609  sil 0.325  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 47.9%
  5.05  kw 0.175  unk 0.389  sil 0.436  -> silence | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  5.05  kw 0.163  unk 0.383  sil 0.454  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  5.05  kw 0.018  unk 0.689  sil 0.293  -> unknown | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  6.06  kw 0.187  unk 0.655  sil 0.158  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.06  kw 0.111  unk 0.725  sil 0.165  -> unknown | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  6.06  kw 0.273  unk 0.343  sil 0.384  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.06  kw 0.369  unk 0.262  sil 0.369  -> keyword | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 48.0%
  6.06  kw 0.127  unk 0.703  sil 0.169  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  6.06  kw 0.046  unk 0.742  sil 0.212  -> unknown | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  7.06  kw 0.064  unk 0.824  sil 0.112  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.06  kw 0.120  unk 0.789  sil 0.091  -> unknown | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  7.06  kw 0.022  unk 0.269  sil 0.709  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  7.06  kw 0.257  unk 0.361  sil 0.382  -> silence | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  7.06  kw 0.009  unk 0.152  sil 0.839  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
  8.07  kw 0.018  unk 0.601  sil 0.381  -> unknown | vote 0 | feat 1.18 ms  infer 84.12 ms  cpu 47.9%
  8.07  kw 0.069  unk 0.479  sil 0.452  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
